,,,,,,,,,,,4631,3569,3060,,,1153,36,,,,,,,,,,,,916,1187,,2519,,,,,,,226,275,213,322,306,241,803,468,369,310,662,375,407,,,810,923,465,841,1272,,BRB,Barbados,"Children out of school, primary",1077,472,683,536
,,,,,,,,,,,,,,,,,2447,1828,3944,3563,4399,4934,4631,4363,,4076,,,,,5424,6474,7266,8404,7566,,,,,,,,,,12,186,109,162,45,213.2129974,533.9320068,75.02999878,212.3099976,258.9819946,195.4889984,1676,,,,BRN,Brunei Darussalam,"Children out of school, primary",74.53500366,93.99299622,361.8959961,1002
,,,,,,,,,,,,,,,,,,44873,44857,,,,,,,,,,,,,,,,,,,42187,41814,40941,39711,,,,30511,24889,,16957,11671,9425,9044,7970,9567,11025,11061,,3534,4229,,BTN,Bhutan,"Children out of school, primary",,11289,8776,4976
,,,,,,,,,,61657,66531,66976,68426,65153,57819,52944,47525,47077,45241,38839,31624,,26531,27777,25743,26229,27026,28651,29884,33538,28708,31753,35116,37972,67527,67161,,60149,62985,60828,56554,56011,54508,50512,48367,45222,48621,51083,51761,,,47136,49933,,,,71445,,,BWA,Botswana,"Children out of school, primary",52690,,,
,,,,,,,,,,,184533,183049,182792,,,,218587,219463,,,195708,184073,172837,,,157811,202591,217017,224495,196897,229859,,,,,,,,,,,,,,406754,415131,370697,315636,320081,312010,340111,329596,,,140699,,,,,CAF,Central African Republic,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,100594,96531,99307,102406,105434,111809,115916,116460,124465,69972,67597,96844,99286,123908,114045,,55632,31952,14517,,,,,,,,,,,,12275,14413,6729,29345,54453,91895,,,CAN,Canada,"Children out of school, primary",11324,34190,23797,56178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEB,Central Europe and the Baltics,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,136031,122097,,,104799,102458,100801,99053,96472,93138,90178,87683,85494,83403,82626,80895,84720,87462,55106,47383,,,1889,3123,3388,924,1196,692,,,,,1850,1684,4576,6515,212,157,629,542,1236,1399,,CHE,Switzerland,"Children out of school, primary",59,425,661,713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,Channel Islands,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52834,50176,73359,49864,52825,49382,48376,39559,34398,24658,33577,19938,,CHL,Chile,"Children out of school, primary",42632,36474,28869,35186
,,,,,,,,,,,,,,,,,,,,,,,,,,,3831526,2834357,5035737,8742548,9742021,11078455,11522325,11765307,10520074,9636665,8237855,,,,,,,,,,,,,,,,,,,,,,,CHN,China,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,605558,,,,,,,,,,,,,,1173447,1172491,,,,1088503,1098225,,1165698,1270523,1226123,1273189,1424769,,,,,,1618142,,,,1287197,1071248,704168,488219,461941,438977,255973,CIV,Cote d'Ivoire,"Children out of school, primary",1162501,730548,531743,421374
,,,,,,,,,,,374352,398851,431442,470193,411639,410623,438697,433918,433047,441796,,,,,,,,457067,,507156,561507,,,,,,,,,,,,,,,,,423854,351828,,329503,197827,,178741,265113,358240,192493,175616,,CMR,Cameroon,"Children out of school, primary",187532,193248,695710,193153.6094
,,,,,,,,,,,974270,1071998,,,1129553,,,,1191484,,,,1220072,1210802,,,,1991930,,,2418751,2595989,2732027,2747663,2343250,,,,5068742,,,,,,,,,,,,,,,,,,,,,COD,"Congo, Dem. Rep.","Children out of school, primary",,,,
,,,,,,,,,,,,54358,,43053,,40079,,30725,28761,50642,51996,48243,44805,38981,,,,,,,,,,,,,,,,,,,,,277889,263283,,,,91268,,81471,,393205,,,,,,COG,"Congo, Rep.","Children out of school, primary",,,188172,
,,,,,,,,,,,,,,,,,,,,,,875762,,922230,965481,1058670,1058127,1098632,1135892,,1072047,766980,756233,743110,635367,452913,,91558,19849,0,0,0,,17770,13941,7351,3588,8397,9434,11031,4332,68249,,131741,156491,193970,274954,289296,,COL,Colombia,"Children out of school, primary",,201303,180919,238138
,,,,,,,,,,,,,,,,,,,,,,,12841,,,16523,21847,,,,,,,28891,,,,,39422,34358,,,,,,,28339,,,,,,9280,,10766,,,,,COM,Comoros,"Children out of school, primary",9423,,14791,
,,,,,,,,,,,,,,,,,,,,,9764,11369,13613,10999,10124,10034,10000,7983,,7912,,,,6750,,,,1382,,2268,3419,3665,4134,5696,5600,5560,6347,6441,6216,5662,6066,5532,5828,6356,7464,7286,6905,,,CPV,Cabo Verde,"Children out of school, primary",6045,6999,7338,7766
,,,,,,,,,,42534,,35246,31947,,32367,25848,,31524,37710,39471,41122,48001,,,54329,51501,52174,,56042,59451,60345,54483,54301,59148,53402,41455,,,,,,,,,,,,,,,1608,6720,13479,26205,30759,13067,20873,21213,,CRI,Costa Rica,"Children out of school, primary",22764,25018,16668,17880
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSS,Caribbean small states,"Children out of school, primary",,,,
,,,,,,,,,,,,78749,40385,30140,,,,,50907,47220,58096,46043,24908,30168,45939,45687,34044,28487,32888,38271,38198,26539,30926,28394,32299,7750,4872,5466,4139,2226,678,1687,3666,5082,7220,11295,5426,13465,10179,13432,20227,17534,5058,20101,21567,19330,16309,32949,,CUB,Cuba,"Children out of school, primary",17298,19546,21064,15970
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUW,Curacao,"Children out of school, primary",,,,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,55,50,38,,128,340,193,41,185,,,78,10,93,384.1530151,220.5850067,269,727,696,,CYM,Cayman Islands,"Children out of school, primary",130.8049927,267.0979919,181,371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276,1347,724,664,837,605,189,276,17,68,19,82,710,973,758,754,295,39,,,CYP,Cyprus,"Children out of school, primary",1217,961,329,241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,,,,,,,,138,2616,2532,4723,6376,2120,4853,11683,17219,10921,8684,,,CZE,Czechia,"Children out of school, primary",8735,14425,12319,8739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,3111,16186,73176,67843,63242,55095,61404,51117,46745,48033,31781,17059,25123,25436,24047,31356,27953,43851,,,DEU,Germany,"Children out of school, primary",34341,49857,25345,35069
,,,,,,,,,,,,,,,,,,,,,,,,,48295,49518,52021,55291,58709,64775,74404,78759,72287,74560,72304,72953,75245,,78847,80774,79998,80088,,77933,77186,75014,72920,60543,64050,,60244,,61449,59329,59149,50535,47713,46432,,DJI,Djibouti,"Children out of school, primary",53528,62035,56366,48923
,,,,,,,,,,,,,,,1253,1390,914,,1638,1909,2251,1711,,,,,,,,,,,,,,,,,,250,37,,2,39,10,176,674,736,275,,34,69,155,218,,934,811,776,,DMA,Dominica,"Children out of school, primary",41,261,,752
,,,,,,,,,,,,,,,,,,,,,3418,3174,3921,3667,2986,2626,1349,130,71,222,304,4686,9022,5566,8984,9844,,7428,3500,1242,1032,5,,10310,8237,4431,2109,2486,1998,2451,2258,1924,2296,2904,2634,1854,2078,2548,,DNK,Denmark,"Children out of school, primary",2850,3160,1772,1599
,,,,,,,,,,,,223047,,,,,,,,,,,,,,,,,,,,,,,,,,,180045,149555,,69439,109906,172621,157848,170992,98421,141536,48386,54351,52377,64875,68572,46019,59410,44717,119266,86746,,DOM,Dominican Republic,"Children out of school, primary",88257,49157,64074,45342
,,,,,,,,,,,,,819870,690203,595498,608778,689022,683498,701356,682765,689131,710871,719643,660805,629358,578800,538820,515283,521559,560494,546756,547693,589962,594522,568059,565273,518697,,289421,232632,129143,58397,38875,26637,19763,38205,55786,38694,31348,30761,23631,19201,13746,12378,9352,5260,8909,29307,46538,DZA,Algeria,"Children out of school, primary",14227,15313,5209,13261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAP,East Asia & Pacific (excluding high income),"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAR,Early-demographic dividend,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAS,East Asia & Pacific,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECA,Europe & Central Asia (excluding high income),"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ECS,Europe & Central Asia,"Children out of school, primary",,,,
,,,,,,,,,,,248296,,258444,253419,265154,265712,231162,209278,171790,191860,,,,,,,,,,,,,,192300,182888,161641,115073,102969,102171,88487,63203,37447,32167,,47064,27199,14214,35232,15196,12166,14463,20595,18345,16736,19486,25908,56914,70043,,ECU,Ecuador,"Children out of school, primary",18014,18185,22868,29634
,,,,,,,,,,,1975408,2004985,2058995,,,,,2129530,,,,,,,,,,,,,,,,1341635,,,1113951,,1290846,1213666,1229131,1227283,1196638,1112033,1318249,1590277,1151254,,1148407,1072507,1327667,1088668,,,680258,345486,66544,,,EGY,"Egypt, Arab Rep.","Children out of school, primary",1120588,774836,555951,173745
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMU,Euro area,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169794,,166196,164952,164163,168004,,150568,130573,126294,110321,95076,99617,103680,118593,147055,168088,179600,189481,173672,163921,175396,185509,210466,217821,,,,ERI,Eritrea,"Children out of school, primary",177558,,211207,
,,,,,,,,,,,201100,153454,145951,,16398,2187,27095,32801,22384,27139,29090,,13558,5656,2681,1426,17297,2928,523,5138,5614,639,3138,3546,1262,4011,2145,,2474,516,576,1002,2051,1772,3433,4285,2320,14385,23183,48223,53950,64111,75200,89453,80898,60574,52881,,,ESP,Spain,"Children out of school, primary",82113,87042,72907,53226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18315,14269,,1607,1239,1139,,,,,,,,,,,,,,2237,2124,2067,1912,1613,,EST,Estonia,"Children out of school, primary",1933,2091,2142,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,4771039,4932875,5224980,,,,,7045004,7136146,7089721,,7083273,7166475,6996463,6748801,6704788,6801133,6620212,5351370,4810532,4144688,3392868,3522979,3913408,3451893,3376905,,2942915,,,4446762,4326212,,ETH,Ethiopia,"Children out of school, primary",2704516,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUU,European Union,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCS,Fragile and conflict affected situations,"Children out of school, primary",,,,
,,,,,,,,,,,,84071,,,,,,,3267,,,,,,,,,,,,,,2445,2637,2547,2773,2010,2010,2691,3116,4435,4377,4041,3875,3868,4360,4274,4022,4355,4211,3911,4396,4679,5717,6695,8304,5088,7353,,FIN,Finland,"Children out of school, primary",4720,5890,6738,7070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12446,,10713,12424,14212,13088,11064,10387,8079,5988,6350,9610,5921,,9240,11412,12484,12869,,12491,11336,12888,7006,2482.6521,,,2908.832031,,FJI,Fiji,"Children out of school, primary",9767,3579,1895.512939,2169
,,,,,,,,,,,44881,40471,29135,17855,,38127,91044,,66146,82595,88909,71019,66579,,62157,29212,31558,32541,30124,9281,108,358,1347,5169,4830,2810,3943,,4908,137264,138945,140553,149151,148892,3243,1136,5208,20115,36009,51322,9824,14993,23622,21490,2457,4882,3961,1333,,FRA,France,"Children out of school, primary",56322,7005,618,1690
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRO,Faroe Islands,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528,1761,1240,2219,2204,,FSM,"Micronesia, Fed. Sts.","Children out of school, primary",1833,1663,682.5230103,2347
,,,,,,,,,,,,,,,4962,,,,,,,,,,,,709,,,,,,,,,,27292,,,,,,,,,,,,,,,,,,,76320,,,,GAB,Gabon,"Children out of school, primary",,,,
,,,,,,,,,,,105520,99270,115319,130637,143343,141257,136949,134646,122185,51502,49022,57693,67803,91346,206591,235456,199406,180892,172463,155298,159765,161865,,,,,,405,3484,2356,2110,1182,1895,26161,3863,45293,101431,16675,31532,23356,45981,80776,82755,86811,107102,122703,1026,152626,,GBR,United Kingdom,"Children out of school, primary",80363,102263,116634,150458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56538,52799,45951,,,,,,,3302,1057,792,6491,6282,5811,,3999,5559,5442,3714,3294,2795,1011,4376,7885,GEO,Georgia,"Children out of school, primary",5250,3940,3083,2005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369751,1114141,1273502,1135764,1137433,,955218,891182,739282,582300,621662,,447448,533570,,654703,362247,320592,547863,,,GHA,Ghana,"Children out of school, primary",720563,791181,427057,565771
,,,,,,,,,,,,,,,,,,926,952,,948,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GIB,Gibraltar,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,612633,602985,634444,666711,674736,692277,717150,733488,,,,,,,739532,737688,727482,710320,630383,601210,573592,560199,537931,514405,535928,515220,464389,391141,404381,376963,462088,,336769,391096,,,GIN,Guinea,"Children out of school, primary",316089,366716,304429,283146
,,,,,,,,,,,66220,68496,69661,71366,72856,74217,70853,68807,68026,66747,62274,61725,61733,63199,62985,65710,,,,89874,,103477,102667,,,100059,,102397,85217,93681,95596,101691,95166,96179,104130,96046,94818,110583,,117970,126052,122887,129446,123121,118015,105036,102637,102914,104508,GMB,"Gambia, The","Children out of school, primary",136684,122922,115164,99078
,,,,,,,,,,,,,,,,,,,,,81818,74048,,81560,83537,,97516,100877,,,,,,,,,,,,99980,,,,,,,,,,75458,,,,,,,,,,GNB,Guinea-Bissau,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28550,,,,,,41382,40207,44701,48081,,,,,80312,80762,80871,79675,80679,,109354,,,,,,GNQ,Equatorial Guinea,"Children out of school, primary",,,,
,,,,,,,,,,,9677,15252,19500,18603,19841,16167,18119,21387,28218,43002,38304,46107,42935,44926,44839,50846,69826,61273,65468,68775,67585,65018,59226,52182,38885,46541,39234,47,235,814,822,2384,1973,4992,3554,3260,3476,,,3749,8309,10739,8551,14012,12488,18176,15821,,,GRC,Greece,"Children out of school, primary",13691,9130,18024,17132
,,,,,,,,,,,,2622,,,,,1625,1479,1328,1608,1946,2405,2307,1783,,,,,,,,,,,,,,,97,,,537,,225,1091,,388,146,,,138.121994,,76.05500031,149,,,3083,,,GRD,Grenada,"Children out of school, primary",136,266,1184,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRL,Greenland,"Children out of school, primary",,,,
,,,,,,,,,,456731,457967,463997,,482234,482981,,,478147,480612,467951,442574,489705,456274,,,,,,,,,,,,,,515818,,324671,287553,311134,248265,,158612,132451,106371,85554,83648,,,57393,117369,168654,224221,229971,213999,181414,178653,,GTM,Guatemala,"Children out of school, primary",212849,246387,208885,211505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUM,Guam,"Children out of school, primary",,,,
,,,,,,,,,,,19965,20992,,20703,,21957,11425,,9943,,,8695,,,,,,,,,6683,7856,8784,,7639,10947,,,,,,,9261,,,,,268,4054,391,214,393,,,,,15777,,,GUY,Guyana,"Children out of school, primary",,,,15206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2953765,2848385,2701825,2505895,2287695,2089900,1920245,1793560,1720050,1711265,1726215,1733860,1746120,1755245,1654165,1577365,1502080,1414600,1371690,1361610,HIC,High income,"Children out of school, primary",1720590,1608635,1537385,1459205
,,,,,,,,,,,94172,81828,77148,68730,61285,57362,52382,54080,51324,25715,22166,21631,20537,22681,26060,,,,,,,,,,35212,35384,,,,,19780,18027,9681,14673,9515,5601,7466,1798,1420,1205,915,960,1059,2776,740,246,3587,3060,,HKG,"Hong Kong SAR, China","Children out of school, primary",2426,2271,441,2372
,,,,,,,,,,,,,,,,,,167887,152877,157958,,107256,103067,101295,,109145,,,,,143932,,134797,,,,,,,160286,,,116895,107329,160655,116980,188207,157861,183896,182475,187502,232196,,284763,257593,234549,278896,,,HND,Honduras,"Children out of school, primary",290330,274480,237868,245074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPC,Heavily indebted poor countries (HIPC),"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32938,14452,,492,790,882,,1381,1539,1606,1969,3854,1693,1726,1695,2064,2337,2415,3317,3137,,,HRV,Croatia,"Children out of school, primary",2329,2904,2515,3138
,,,,,,,,,,,,,,,,,,,,534201,537881,503650,478170,520667,485148,475724,575015,,,,,,,,,,525568,,,,,,,,,,,,,,,,,,,,,,,HTI,Haiti,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64501,66085,114277,61614,1472,2408,12877,8689,621,90,169,366,676,1737,3415,6366,8026,9220,6428,9628,16823,19363,16426,13998,,,HUN,Hungary,"Children out of school, primary",13786,19811,17232,15815
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBD,IBRD only,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IBT,IDA & IBRD total,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDA,IDA total,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB,IDA blend,"Children out of school, primary",,,,
,,,,,,,,,,,5408232,5433141,,5870393,5519433,5023173,4584140,3142231,,,2097057,832014,506654,438451,411446,567728,252140,467509,334807,810165,1082423,1253745,1422872,1105346,1051614,1307699,1321877,,,,626982,689372,727446,910818,1091231,645731,294097,331418,190785,121468,498864,76920,255860,,1463398,481432.5938,407290.625,345715.9375,,IDN,Indonesia,"Children out of school, primary",653227,1363992,1964751,760311.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDX,IDA only,"Children out of school, primary",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMN,Isle of Man,"Children out of school, primary",,,,
,,,,,,,,,,,29338140,,,,,,,,,,,,,,,,,,,24108980,,,,,,,,,,20680600,13632605,15793298,10033437,,,,1109398,478248,1615550,1058819,1625922,1542281,529431,,7328295,8894878,2758325.75,180671.8438,1722439.875,IND,India,"Children out of school, primary",,5010197.5,7721149.5,4873048.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INX,Not classified,"Children out of school, primary",,,,
